_id,CODICEIDENTIFICATIVOFARMACIA,CODFARMACIAASSEGNATODAASL,INDIRIZZO,DESCRIZIONEFARMACIA,PARTITAIVA,CAP,CODICECOMUNEISTAT,DESCRIZIONECOMUNE,FRAZIONE,CODICEPROVINCIAISTAT,SIGLAPROVINCIA,DESCRIZIONEPROVINCIA,CODICEREGIONE,DESCRIZIONEREGIONE,DATAINIZIOVALIDITA,DATAFINEVALIDITA,DESCRIZIONETIPOLOGIA,CODICETIPOLOGIA,LATITUDINE,LONGITUDINE,LOCALIZE
2354,10383,0,"Piazza Santa Lucia, 1/3",VERNILE VINCENZA,00305940603,3030,60089,VILLA SANTA LUCIA,-,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,28/02/2013,Ordinaria,1,41.5132,13.77382,1
2355,10384,0,"Via Botticelli, 38",EUROPA,00306080607,3043,60019,CASSINO,CAIRA,60,FR,FROSINONE,120,LAZIO,2011-01-05T00:00:00,-,Ordinaria,1,41.47889,13.83556,1
2356,10384,0,"Via Botticelli, 38",EUROPA,02063020651,3043,60019,CASSINO,CAIRA,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,30/04/2011,Ordinaria,1,41.47889,13.83556,1
2357,10385,0,"Contrada Patoni, 73",PATRICELLI LOLITA,00307890608,3010,60081,TRIVIGLIANO,-,60,FR,FROSINONE,120,LAZIO,2013-01-03T00:00:00,-,Ordinaria,1,41.76412,13.27003,1
2358,10385,0,"Via Prenestina, 24",PATRICELLI LOLITA,00307890608,3010,60081,TRIVIGLIANO,-,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,28/02/2013,Ordinaria,1,41.76412,13.27003,1
2359,10386,0,Via Colle Mastroianni,BARTOLOMUCCI PIO,-,3030,60037,FONTECHIARI,-,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,31/03/2007,Ordinaria,1,41.67349,13.66416,1
2360,10386,0,Via Colle Mastroianni,BARTOLOMUCCI PIO,00322440603,3030,60037,FONTECHIARI,-,60,FR,FROSINONE,120,LAZIO,2007-01-04T00:00:00,28/02/2013,Ordinaria,1,41.67349,13.66416,1
2361,10386,0,"Via Colle Mastroianni, 143",BARTOLOMUCCI PIO,00322440603,3030,60037,FONTECHIARI,-,60,FR,FROSINONE,120,LAZIO,2013-01-03T00:00:00,-,Ordinaria,1,41.67349,13.66416,1
2362,10387,0,"Via Valli, 18",SANT'ANTONIO ABATE DI RUGGIERO MIRELLA,02588930608,3040,60021,CASTELNUOVO PARANO,S. Abate,60,FR,FROSINONE,120,LAZIO,2009-01-11T00:00:00,30/09/2010,Ordinaria,1,41.37953,13.74694,1
2363,10387,0,"Via Borgo, snc",ACETO GIUSEPPE,00327530606,3040,60021,CASTELNUOVO PARANO,S. Abate,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,31/10/2009,Ordinaria,1,41.37953,13.74694,1
2364,10387,0,"Via Valli, 18",SANT'ANTONIO ABATE DI RUGGIERO MIRELLA,00327530606,3040,60021,CASTELNUOVO PARANO,S. Abate,60,FR,FROSINONE,120,LAZIO,2010-01-10T00:00:00,-,Ordinaria,1,41.37953,13.74694,1
2365,10388,0,"Via Chiaiamari, 89",BIANCHI ELDA,00324980606,3030,60044,MONTE SAN GIOVANNI CAMPANO,CHIAIAMARI,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,-,Ordinaria,1,41.65278,13.51776,1
2366,10389,0,"Via Ausonia, 1",FALOVO ANTONIETTA,00330210600,3040,60054,PIGNATARO INTERAMNA,-,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,-,Ordinaria,1,41.43305,13.78544,1
2367,10390,0,"Via della Croce, 9",MAGLIOCCHETTI ISABELLA,-,3010,60039,FUMONE,-,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,31/03/2007,Ordinaria,1,41.73172,13.27522,1
2368,10390,0,"Via della Croce, 9",MAGLIOCCHETTI ISABELLA,00351180609,3010,60039,FUMONE,-,60,FR,FROSINONE,120,LAZIO,2007-01-04T00:00:00,-,Ordinaria,1,41.73172,13.27522,1
2369,10391,0,"Via Prenestina, 312",FELLI AMELIA,00368520607,3010,60071,SERRONE,LA FORMA,60,FR,FROSINONE,120,LAZIO,2013-01-03T00:00:00,-,Ordinaria,1,41.84212,13.09519,1
2370,10391,0,"Via IV Novembre, 4",FELLI AMELIA,00368520607,3010,60071,SERRONE,LA FORMA,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,28/02/2013,Ordinaria,1,41.84212,13.09519,1
2371,10392,0,"Via Garibaldi, 2",FOLCARELLI LUCIANA,00374070605,3030,60029,COLLE SAN MAGNO,-,60,FR,FROSINONE,120,LAZIO,2013-01-03T00:00:00,-,Ordinaria,1,41.5594,13.71363,1
2372,10392,0,Via Vaglie,FOLCARELLI LUCIANA,-,3030,60029,COLLE SAN MAGNO,-,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,31/03/2007,Ordinaria,1,41.5594,13.71363,1
2373,10392,0,Via Vaglie,FOLCARELLI LUCIANA,00374070605,3030,60029,COLLE SAN MAGNO,-,60,FR,FROSINONE,120,LAZIO,2007-01-04T00:00:00,28/02/2013,Ordinaria,1,41.5594,13.71363,1
2374,10393,0,"Piazza della Vittoria, 21/23",M.E.T.RIPI DI TORRICIANI M.P. SAS,02583030602,3027,60058,RIPI,-,60,FR,FROSINONE,120,LAZIO,2010-01-09T00:00:00,-,Ordinaria,1,41.59657,13.44285,1
2375,10393,0,"Piazza della Vittoria, 21/23",TORRICIANI MARIA PALMA,00620200600,3027,60058,RIPI,-,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,31/08/2010,Ordinaria,1,41.59657,13.44285,1
2376,10394,0,"Via Bove, 80",BIANCHI ANNA,00627530603,3033,60010,ARPINO,SCAFFA,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,28/02/2013,Ordinaria,1,41.6464,13.62474,1
2377,10394,0,"Via Scaffa, SNC",BIANCHI ANNA,00627530603,3033,60010,ARPINO,SCAFFA,60,FR,FROSINONE,120,LAZIO,2013-01-03T00:00:00,-,Ordinaria,1,41.6464,13.62474,1
2378,10395,0,"Via Colli, 12",NARDONE FRANCESCOANTONIO,-,3047,60063,SAN GIORGIO A LIRI,-,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,31/03/2007,Ordinaria,1,41.40428,13.76802,1
2379,10395,0,Via Crocelle snc,NARDONE FRANCESCOANTONIO,00628030603,3047,60063,SAN GIORGIO A LIRI,-,60,FR,FROSINONE,120,LAZIO,2007-01-04T00:00:00,-,Ordinaria,1,41.40428,13.76802,1
2380,10396,0,"Via Provinciale, 21",CIOLFI LUCIO,00632270609,3045,60031,ESPERIA,MONTICELLI,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,28/02/2013,Ordinaria,1,41.37782,13.64815,1
2381,10396,0,"Via Provinciale, 21",CIOLFI LUCIO,00632270609,3040,60031,ESPERIA,MONTICELLI,60,FR,FROSINONE,120,LAZIO,2013-01-03T00:00:00,-,Ordinaria,1,41.37782,13.64815,1
2382,10397,0,"Viale Dante, 55",PRIGIOTTI FABRIZIO,00668450604,3043,60019,CASSINO,-,60,FR,FROSINONE,120,LAZIO,2008-01-01T00:00:00,-,Ordinaria,1,41.48665,13.83122,1
2383,10397,0,"Viale Dante, 55",PRIGIOTTI FABRIZIO,01709030652,3043,60019,CASSINO,-,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,30/06/2007,Ordinaria,1,41.48665,13.83122,1
2384,10397,0,"Viale Dante, 55",PRIGIOTTI FABRIZIO,-,3043,60019,CASSINO,-,60,FR,FROSINONE,120,LAZIO,2007-01-07T00:00:00,31/12/2007,Ordinaria,1,41.48665,13.83122,1
2385,10398,0,"Via America Latina, 111/119",AMERICA LATINA,01401370604,3100,60038,FROSINONE,-,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,28/02/2011,Ordinaria,1,41.62904,13.34314,1
2386,10398,0,"Via America Latina, 111/119",DEL VIALE DI CORRENTE DI GIANFRANCO & ROSSELLA SNC,02670910609,3100,60038,FROSINONE,-,60,FR,FROSINONE,120,LAZIO,2011-01-03T00:00:00,-,Ordinaria,1,41.62904,13.34314,1
2387,10399,0,"Via Colle Renzi, 1",MARCELLI PAOLA,01414100600,3010,60048,PATRICA,-,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,28/02/2013,Ordinaria,1,41.59181,13.25686,1
2388,10399,0,Via Quattro Strade,MALANDRUCCOLO GIUSEPPE SAS,01414100600,3010,60048,PATRICA,-,60,FR,FROSINONE,120,LAZIO,2013-01-03T00:00:00,-,Ordinaria,1,41.59181,13.25686,1
2389,10400,0,Via IV Novembre,SECONDINI,00551490600,3049,60068,SANT'ELIA FIUMERAPIDO,-,60,FR,FROSINONE,120,LAZIO,2013-01-03T00:00:00,-,Ordinaria,1,41.52852,13.85241,1
2390,10400,0,Via IV Novembre,DI CESARE MARIA,00551490600,3049,60068,SANT'ELIA FIUMERAPIDO,-,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,28/02/2013,Ordinaria,1,41.52852,13.85241,1
2391,10401,0,"Via Roma, 152",FERRARO PAOLO,01445320607,3040,60088,VILLA LATINA,-,60,FR,FROSINONE,120,LAZIO,2010-01-09T00:00:00,-,Ordinaria,1,41.60685,13.85422,1
2392,10401,0,"Via Roma, 152",FERRARO PAOLO,-,3040,60088,VILLA LATINA,-,60,FR,FROSINONE,120,LAZIO,2005-01-01T00:00:00,31/05/2009,Ordinaria,1,41.60685,13.85422,1
